,company,sector,inventory,cogs,sales,date,avg_inventory,company_name
234,ANET,Information Technology,162128000,166934000,448091000,2016-09-30,140129000.0,Arista Networks
235,ANET,Information Technology,236490000,261711000,702329000,2016-12-31,199309000.0,Arista Networks
236,ANET,Information Technology,286786000,369768000,991337000,2017-03-31,261638000.0,Arista Networks
237,ANET,Information Technology,363803000,109836000,291367000,2017-06-30,325294500.0,Arista Networks
238,ANET,Information Technology,333157000,244242000,645271000,2017-09-30,348480000.0,Arista Networks
239,ANET,Information Technology,306198000,390116000,1025615000,2017-12-31,319677500.0,Arista Networks
240,ANET,Information Technology,268131000,538035000,1432810000,2018-03-31,287164500.0,Arista Networks
241,ANET,Information Technology,245439000,156691000,407617000,2018-06-30,256785000.0,Arista Networks
242,AXON,Industrials,17815405,40849151,104251560,2010-12-31,131627202.5,Axon Enterprise
243,AXON,Industrials,16049209,19843295,42964426,2011-06-30,16932307.0,Axon Enterprise
244,AXON,Industrials,15469128,30519891,64048507,2011-09-30,15759168.5,Axon Enterprise
245,AXON,Industrials,11484761,41563144,86930019,2011-12-31,13476944.5,Axon Enterprise
246,AXON,Industrials,11118750,10908086,23116949,2012-03-31,11301755.5,Axon Enterprise
247,AXON,Industrials,10466858,19865649,44315004,2012-06-30,10792804.0,Axon Enterprise
248,AXON,Industrials,10430832,31145151,68698115,2012-09-30,10448845.0,Axon Enterprise
249,AXON,Industrials,10993209,41752520,90027906,2012-12-31,10712020.5,Axon Enterprise
250,AXON,Industrials,11840390,10400133,25641392,2013-03-31,11416799.5,Axon Enterprise
251,AXON,Industrials,13200436,22120203,53863835,2013-06-30,12520413.0,Axon Enterprise
252,AXON,Industrials,12289360,34090148,82636791,2013-09-30,12744898.0,Axon Enterprise
253,AXON,Industrials,11109000,47038173,114752748,2013-12-31,11699180.0,Axon Enterprise
254,AXON,Industrials,13252000,11404513,30182678,2014-03-31,12180500.0,Axon Enterprise
255,AXON,Industrials,15111000,23171122,62025082,2014-06-30,14181500.0,Axon Enterprise
256,AXON,Industrials,16128000,35974812,96755347,2014-09-30,15619500.0,Axon Enterprise
257,AXON,Industrials,18323000,50099000,136123000,2014-12-31,17225500.0,Axon Enterprise
258,AXON,Industrials,22626000,13574000,35513000,2015-03-31,20474500.0,Axon Enterprise
259,AXON,Industrials,23687000,26997000,71781000,2015-06-30,23156500.0,Axon Enterprise
260,AXON,Industrials,18892000,42135000,114972000,2015-09-30,21289500.0,Axon Enterprise
261,AXON,Industrials,15763000,60913000,160313000,2015-12-31,17327500.0,Axon Enterprise
262,AXON,Industrials,20214000,14229000,42843000,2016-03-31,17988500.0,Axon Enterprise
263,AXON,Industrials,21936000,29223000,86598000,2016-06-30,21075000.0,Axon Enterprise
264,AXON,Industrials,25503000,47497000,133863000,2016-09-30,23719500.0,Axon Enterprise
265,AXON,Industrials,34841000,65022000,185230000,2016-12-31,30172000.0,Axon Enterprise
266,AXON,Industrials,48699000,17455000,50675000,2017-03-31,41770000.0,Axon Enterprise
267,AXON,Industrials,60743000,37509000,104542000,2017-06-30,54721000.0,Axon Enterprise
268,AXON,Industrials,52692000,61172000,167745000,2017-09-30,56717500.0,Axon Enterprise
269,AXON,Industrials,45465000,91536000,238573000,2017-12-31,49078500.0,Axon Enterprise
270,AXON,Industrials,43104000,27072000,67491000,2018-03-31,44284500.0,Axon Enterprise
271,AXON,Industrials,43967000,57244000,134366000,2018-06-30,43535500.0,Axon Enterprise
272,AXON,Industrials,39221000,91817000,208351000,2018-09-30,41594000.0,Axon Enterprise
